#File for Gnuplot.
#Pocet bunek v siti: 7500
#Variables: x y rho u v e p Ma
2.8	0	1.11338	0.592349	-0.000375104	2.04308	0.739101	0.614446
2.8	0	1.11327	0.592827	-0.00036134	2.04291	0.738913	0.61499
2.84	0	1.11317	0.593284	-0.000348621	2.04275	0.738737	0.615509
2.84	0	1.11308	0.593721	-0.000336887	2.04262	0.738574	0.616005
2.88	0	1.11299	0.594141	-0.00032611	2.0425	0.738422	0.616481
2.88	0	1.11291	0.594544	-0.000316318	2.0424	0.73828	0.616936
2.92	0	1.11282	0.594933	-0.000307614	2.0423	0.738146	0.61737
2.92	0	1.1127	0.595309	-0.00030013	2.04222	0.738021	0.61778
2.96	0	1.11251	0.595673	-0.000293681	2.04213	0.737901	0.618154
2.96	0	1.11213	0.59603	-0.000286307	2.042	0.737784	0.618467
3	0	1.11198	0.596964	-0.000269281	2.04386	0.738292	0.619183
0.02	0.02	1.16242	0.598682	2.61172e-05	2.13525	0.770775	0.621369
0.02	0.02	1.1624	0.598674	4.12355e-05	2.13521	0.770762	0.621362
0.06	0.02	1.16239	0.598662	5.66982e-05	2.13516	0.770747	0.621352
0.06	0.02	1.16237	0.598641	7.24771e-05	2.13512	0.770735	0.621331
0.1	0.02	1.16237	0.598609	8.86486e-05	2.13508	0.770729	0.621298
0.1	0.02	1.16237	0.598562	0.00010533	2.13505	0.770731	0.621249
0.14	0.02	1.16238	0.598499	0.000122655	2.13504	0.770743	0.621183
0.14	0.02	1.16241	0.59842	0.000140767	2.13505	0.770766	0.621098
0.18	0.02	1.16245	0.598322	0.000159816	2.13507	0.770801	0.620992
0.18	0.02	1.1625	0.598205	0.00017996	2.13512	0.770848	0.620866
0.22	0.02	1.16256	0.598068	0.000201365	2.13519	0.770909	0.620716
0.22	0.02	1.16264	0.597908	0.000224211	2.13528	0.770984	0.620542
0.26	0.02	1.16274	0.597725	0.00024869	2.1354	0.771075	0.620341
0.26	0.02	1.16286	0.597517	0.000275014	2.13554	0.771182	0.620113
0.3	0.02	1.16299	0.597282	0.000303414	2.13571	0.771307	0.619855
0.3	0.02	1.16314	0.597018	0.000334147	2.13592	0.771451	0.619564
0.34	0.02	1.16332	0.596722	0.000367498	2.13615	0.771615	0.619238
0.34	0.02	1.16352	0.596392	0.000403786	2.13643	0.771802	0.618874
0.38	0.02	1.16375	0.596025	0.000443369	2.13674	0.772013	0.618469
0.38	0.02	1.164	0.595617	0.000486653	2.1371	0.77225	0.618019
0.42	0.02	1.16429	0.595165	0.000534095	2.1375	0.772515	0.61752
0.42	0.02	1.16461	0.594665	0.000586219	2.13795	0.772812	0.616967
0.46	0.02	1.16496	0.594112	0.000643625	2.13846	0.773143	0.616356
0.46	0.02	1.16536	0.593501	0.000707001	2.13903	0.773512	0.615679
0.5	0.02	1.1658	0.592826	0.000777144	2.13966	0.773922	0.614932
0.5	0.02	1.16629	0.59208	0.000854981	2.14037	0.774377	0.614107
0.54	0.02	1.16683	0.591255	0.000941597	2.14116	0.774882	0.613194
0.54	0.02	1.16743	0.590343	0.00103826	2.14204	0.775443	0.612185
0.58	0.02	1.1681	0.589335	0.00114649	2.14301	0.776065	0.611069
0.58	0.02	1.16884	0.588219	0.00126807	2.1441	0.776755	0.609834
0.62	0.02	1.16966	0.586982	0.00140516	2.14531	0.777522	0.608466
0.62	0.02	1.17058	0.585609	0.00156037	2.14665	0.778374	0.606948
0.66	0.02	1.17159	0.584084	0.00173686	2.14815	0.779321	0.605261
0.66	0.02	1.17272	0.582385	0.00193854	2.14982	0.780377	0.603384
0.7	0.02	1.17398	0.58049	0.00217027	2.15168	0.781553	0.601291
0.7	0.02	1.17538	0.578371	0.00243813	2.15376	0.782868	0.598951
0.74	0.02	1.17695	0.575993	0.00274987	2.15609	0.78434	0.596328
0.74	0.02	1.17871	0.573317	0.00311548	2.1587	0.785993	0.593378
0.78	0.02	1.18069	0.570294	0.00354805	2.16164	0.787854	0.590049
0.78	0.02	1.18292	0.566864	0.00406513	2.16496	0.789957	0.586275
0.82	0.02	1.18544	0.56295	0.00469092	2.16871	0.792344	0.581974
0.82	0.02	1.18831	0.558456	0.00546016	2.17299	0.795068	0.577043
0.86	0.02	1.19159	0.553255	0.00642554	2.17788	0.798196	0.571345
0.86	0.02	1.19536	0.547176	0.00767302	2.18353	0.801819	0.564699
0.9	0.02	1.19974	0.539981	0.00935478	2.19012	0.806063	0.55685
0.9	0.02	1.20487	0.53133	0.011762	2.19794	0.811111	0.547442
0.94	0.02	1.21099	0.52074	0.0154838	2.2074	0.817226	0.535978
0.94	0.02	1.21835	0.507557	0.0217403	2.21914	0.82477	0.52184
0.98	0.02	1.22715	0.491101	0.0330241	2.23381	0.834063	0.504588
0.98	0.02	1.23688	0.471425	0.0541739	2.25092	0.844663	0.485309
1.02	0.0279763	1.2574	0.462974	0.0935325	2.30453	0.865707	0.481094
1.02	0.0279763	1.2519	0.478996	0.124001	2.30662	0.861353	0.504135
1.06	0.0428088	1.23374	0.5053	0.14423	2.2818	0.844585	0.536763
1.06	0.0428088	1.21155	0.533989	0.156689	2.24729	0.823875	0.570353
1.1	0.0561931	1.18887	0.561988	0.163668	2.21045	0.802716	0.602043
1.1	0.0561931	1.16697	0.588318	0.166804	2.17406	0.782347	0.631201
1.14	0.0681765	1.1462	0.612811	0.167196	2.13905	0.763123	0.65794
1.14	0.0681765	1.12659	0.635583	0.165572	2.10567	0.74507	0.682575
1.18	0.0788	1.10806	0.656827	0.162412	2.07389	0.728104	0.705437
1.18	0.0788	1.09049	0.676729	0.158034	2.0436	0.712112	0.726806
1.22	0.0880983	1.07378	0.69545	0.152655	2.01465	0.69699	0.746904
1.22	0.0880983	1.05784	0.713108	0.146422	1.98693	0.682648	0.765898
1.26	0.096101	1.04261	0.729794	0.139442	1.96032	0.669016	0.783908
1.26	0.096101	1.02803	0.745569	0.131793	1.93476	0.656043	0.801018
